"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2001","European Union (current composition)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","4,847,619","p"
"2001","European Union (current composition)","Number","Total","Total","Certain infectious and parasitic diseases (A00-B99)","54,585","p"
"2001","European Union (current composition)","Number","Total","Total","Tuberculosis","9,165","p"
"2001","European Union (current composition)","Number","Total","Total","Viral hepatitis and sequelae of viral hepatitis","5,652","p"
"2001","European Union (current composition)","Number","Total","Total","Human immunodeficiency virus [HIV] disease","6,466","p"
"2001","European Union (current composition)","Number","Total","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","29,334","p"
"2001","European Union (current composition)","Number","Total","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","679","p"
"2001","European Union (current composition)","Number","Total","Less than 1 year","Tuberculosis","6","p"
"2001","European Union (current composition)","Number","Total","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","8","p"
"2001","European Union (current composition)","Number","Total","Less than 1 year","Human immunodeficiency virus [HIV] disease","13","p"
"2001","European Union (current composition)","Number","Total","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","6,005","p"
"2001","European Union (current composition)","Number","Total","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","363","p"
"2001","European Union (current composition)","Number","Total","From 1 to 4 years","Tuberculosis","7","p"
"2001","European Union (current composition)","Number","Total","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","2","p"
"2001","European Union (current composition)","Number","Total","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","9","p"
"2001","European Union (current composition)","Number","Total","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","3,950","p"
"2001","European Union (current composition)","Number","Total","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","129","p"
"2001","European Union (current composition)","Number","Total","From 5 to 9 years","Tuberculosis","3","p"
"2001","European Union (current composition)","Number","Total","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","1","p"
"2001","European Union (current composition)","Number","Total","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","20","p"
"2001","European Union (current composition)","Number","Total","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","5,569","p"
"2001","European Union (current composition)","Number","Total","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","525","p"
"2001","European Union (current composition)","Number","Total","From 10 to 14 years","Tuberculosis","18","p"
"2001","European Union (current composition)","Number","Total","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","9","p"
"2001","European Union (current composition)","Number","Total","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","378","p"
"2001","European Union (current composition)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","2,425,775","p"
"2001","European Union (current composition)","Number","Males","Total","Certain infectious and parasitic diseases (A00-B99)","29,885","p"
"2001","European Union (current composition)","Number","Males","Total","Tuberculosis","6,490","p"
"2001","European Union (current composition)","Number","Males","Total","Viral hepatitis and sequelae of viral hepatitis","3,034","p"
"2001","European Union (current composition)","Number","Males","Total","Human immunodeficiency virus [HIV] disease","5,006","p"
"2001","European Union (current composition)","Number","Males","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","16,590","p"
"2001","European Union (current composition)","Number","Males","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","392","p"
"2001","European Union (current composition)","Number","Males","Less than 1 year","Tuberculosis","5","p"
"2001","European Union (current composition)","Number","Males","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","4","p"
"2001","European Union (current composition)","Number","Males","Less than 1 year","Human immunodeficiency virus [HIV] disease","7","p"
"2001","European Union (current composition)","Number","Males","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","3,403","p"
"2001","European Union (current composition)","Number","Males","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","199","p"
"2001","European Union (current composition)","Number","Males","From 1 to 4 years","Tuberculosis","4","p"
"2001","European Union (current composition)","Number","Males","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","1","p"
"2001","European Union (current composition)","Number","Males","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","3","p"
"2001","European Union (current composition)","Number","Males","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","2,332","p"
"2001","European Union (current composition)","Number","Males","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","86","p"
"2001","European Union (current composition)","Number","Males","From 5 to 9 years","Tuberculosis","1","p"
"2001","European Union (current composition)","Number","Males","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","1","p"
"2001","European Union (current composition)","Number","Males","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","13","p"
"2001","European Union (current composition)","Number","Males","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","3,400","p"
"2001","European Union (current composition)","Number","Males","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","294","p"
"2001","European Union (current composition)","Number","Males","From 10 to 14 years","Tuberculosis","10","p"
"2001","European Union (current composition)","Number","Males","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","5","p"
"2001","European Union (current composition)","Number","Males","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","218","p"
"2001","European Union (current composition)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","2,421,844","p"
"2001","European Union (current composition)","Number","Females","Total","Certain infectious and parasitic diseases (A00-B99)","24,700","p"
"2001","European Union (current composition)","Number","Females","Total","Tuberculosis","2,675","p"
"2001","European Union (current composition)","Number","Females","Total","Viral hepatitis and sequelae of viral hepatitis","2,618","p"
"2001","European Union (current composition)","Number","Females","Total","Human immunodeficiency virus [HIV] disease","1,460","p"
"2001","European Union (current composition)","Number","Females","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","12,744","p"
"2001","European Union (current composition)","Number","Females","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","287","p"
"2001","European Union (current composition)","Number","Females","Less than 1 year","Tuberculosis","1","p"
"2001","European Union (current composition)","Number","Females","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","4","p"
"2001","European Union (current composition)","Number","Females","Less than 1 year","Human immunodeficiency virus [HIV] disease","6","p"
"2001","European Union (current composition)","Number","Females","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","2,602","p"
"2001","European Union (current composition)","Number","Females","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","164","p"
"2001","European Union (current composition)","Number","Females","From 1 to 4 years","Tuberculosis","3","p"
"2001","European Union (current composition)","Number","Females","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","1","p"
"2001","European Union (current composition)","Number","Females","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","6","p"
"2001","European Union (current composition)","Number","Females","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","1,618","p"
"2001","European Union (current composition)","Number","Females","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","43","p"
"2001","European Union (current composition)","Number","Females","From 5 to 9 years","Tuberculosis","2","p"
"2001","European Union (current composition)","Number","Females","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0","p"
